prognosis,symptoms_description
Eye alignment disorder,"I have abnormal involuntary movements, cramps and spasms, diminished hearing, eye burns or stings, eye deviation, foot or toe weakness, knee weakness, symptoms of bladder"
Eye alignment disorder,"I have abnormal involuntary movements, cramps and spasms, diminished hearing, eye deviation, foot or toe weakness, irregular appearing nails, knee weakness, pain during pregnancy"
Headache after lumbar puncture,"I have back mass or lump, disturbance of smell or taste, hand or finger weakness, hysterical behavior, low back cramps or spasms, nasal congestion, neck mass, pain during intercourse, pain in testicles, painful sinuses, paresthesia, vaginal redness"
Headache after lumbar puncture,"I have disturbance of smell or taste, hand or finger weakness, hysterical behavior, nasal congestion, neck mass, pain during intercourse, pain in testicles, paresthesia, vaginal redness"
Headache after lumbar puncture,"I have back mass or lump, disturbance of smell or taste, hand or finger weakness, hysterical behavior, nasal congestion, pain in testicles, painful sinuses, paresthesia, vaginal redness"
Headache after lumbar puncture,"I have back mass or lump, disturbance of smell or taste, low back cramps or spasms, neck mass, pain during intercourse, pain in testicles, painful sinuses, paresthesia, vaginal redness"
Headache after lumbar puncture,"I have back mass or lump, hand or finger weakness, hysterical behavior, nasal congestion, pain during intercourse, pain in testicles, painful sinuses, paresthesia, vaginal redness"
Headache after lumbar puncture,"I have disturbance of smell or taste, hand or finger weakness, hysterical behavior, low back cramps or spasms, nasal congestion, pain during intercourse, pain in testicles, paresthesia, vaginal redness"
Headache after lumbar puncture,"I have back mass or lump, disturbance of smell or taste, hand or finger weakness, nasal congestion, pain in testicles, painful sinuses, paresthesia, vaginal redness"
Headache after lumbar puncture,"I have back mass or lump, hysterical behavior, low back cramps or spasms, nasal congestion, pain during intercourse, pain in testicles, painful sinuses, vaginal redness"
Headache after lumbar puncture,"I have hand or finger weakness, hysterical behavior, nasal congestion, pain during intercourse, pain in testicles, painful sinuses, paresthesia, vaginal redness"
Headache after lumbar puncture,"I have disturbance of smell or taste, hysterical behavior, low back cramps or spasms, nasal congestion, neck mass, pain during intercourse, painful sinuses, vaginal redness"
Pyloric stenosis,"I have arm pain, bumps on penis, coryza, infant feeding problem, pain during intercourse, redness in or around nose, regurgitation, seizures, symptoms of eye, vaginal redness, vomiting, weight gain"
Pyloric stenosis,"I have arm pain, bumps on penis, infant feeding problem, redness in or around nose, regurgitation, seizures, symptoms of eye, vaginal redness, vomiting, weight gain"
Pyloric stenosis,"I have arm pain, coryza, infant feeding problem, regurgitation, seizures, symptoms of eye, vaginal redness, vomiting"
Pyloric stenosis,"I have arm pain, bumps on penis, coryza, redness in or around nose, regurgitation, seizures, symptoms of eye, vaginal redness, vomiting"
Pyloric stenosis,"I have arm pain, coryza, infant feeding problem, pain during intercourse, redness in or around nose, regurgitation, seizures, symptoms of eye"
Pyloric stenosis,"I have arm pain, coryza, infant feeding problem, regurgitation, seizures, symptoms of eye, vomiting, weight gain"
Pyloric stenosis,"I have coryza, infant feeding problem, pain during intercourse, redness in or around nose, regurgitation, seizures, symptoms of eye, vaginal redness, weight gain"
Pyloric stenosis,"I have arm pain, bumps on penis, infant feeding problem, pain during intercourse, regurgitation, seizures, symptoms of eye, vaginal redness"
Pyloric stenosis,"I have arm pain, bumps on penis, coryza, infant feeding problem, pain during intercourse, redness in or around nose, seizures, symptoms of eye, vaginal redness, vomiting, weight gain"
Pyloric stenosis,"I have coryza, infant feeding problem, pain during intercourse, regurgitation, seizures, symptoms of eye, vaginal redness, vomiting, weight gain"
Salivary gland disorder,"I have coryza, dry or flaky scalp, eyelid swelling, jaw pain, melena, neck cramps or spasms, neck stiffness or tightness, penis redness, skin rash, sore in nose, swollen eye, thirst"
Salivary gland disorder,"I have coryza, eyelid swelling, melena, neck cramps or spasms, neck stiffness or tightness, penis redness, skin rash, swollen eye, thirst"
Salivary gland disorder,"I have dry or flaky scalp, jaw pain, melena, neck cramps or spasms, neck stiffness or tightness, penis redness, skin rash, swollen eye"
Salivary gland disorder,"I have coryza, jaw pain, melena, neck cramps or spasms, neck stiffness or tightness, penis redness, skin rash, sore in nose, thirst"
Salivary gland disorder,"I have coryza, dry or flaky scalp, jaw pain, melena, neck cramps or spasms, penis redness, skin rash, thirst"
Salivary gland disorder,"I have dry or flaky scalp, eyelid swelling, jaw pain, melena, neck cramps or spasms, penis redness, skin rash, swollen eye, thirst"
Salivary gland disorder,"I have coryza, dry or flaky scalp, jaw pain, neck cramps or spasms, neck stiffness or tightness, penis redness, skin rash, swollen eye"
Salivary gland disorder,"I have jaw pain, melena, neck cramps or spasms, neck stiffness or tightness, penis redness, skin rash, sore in nose, swollen eye"
Salivary gland disorder,"I have dry or flaky scalp, eyelid swelling, melena, neck cramps or spasms, penis redness, skin rash, sore in nose, swollen eye"
Salivary gland disorder,"I have coryza, dry or flaky scalp, neck cramps or spasms, neck stiffness or tightness, penis redness, skin rash, sore in nose, swollen eye"
Osteochondrosis,"I have allergic reaction, blood in urine, bones are painful, elbow lump or mass, foot or toe lump or mass, hand or finger lump or mass, knee cramps or spasms, knee lump or mass, knee stiffness or tightness, knee swelling, skin lesion, weakness"
Osteochondrosis,"I have allergic reaction, blood in urine, elbow lump or mass, foot or toe lump or mass, hand or finger lump or mass, knee stiffness or tightness, knee swelling, skin lesion, weakness"
Osteochondrosis,"I have allergic reaction, blood in urine, bones are painful, foot or toe lump or mass, hand or finger lump or mass, knee stiffness or tightness, knee swelling, skin lesion"
Osteochondrosis,"I have allergic reaction, blood in urine, bones are painful, elbow lump or mass, hand or finger lump or mass, knee cramps or spasms, knee lump or mass, skin lesion"
Osteochondrosis,"I have blood in urine, bones are painful, foot or toe lump or mass, hand or finger lump or mass, knee lump or mass, knee stiffness or tightness, skin lesion, weakness"
Osteochondrosis,"I have blood in urine, elbow lump or mass, foot or toe lump or mass, knee cramps or spasms, knee stiffness or tightness, knee swelling, skin lesion, weakness"
Osteochondrosis,"I have bones are painful, foot or toe lump or mass, hand or finger lump or mass, knee cramps or spasms, knee lump or mass, knee stiffness or tightness, knee swelling, skin lesion, weakness"
Osteochondrosis,"I have blood in urine, bones are painful, elbow lump or mass, foot or toe lump or mass, hand or finger lump or mass, knee cramps or spasms, knee lump or mass, knee stiffness or tightness, weakness"
Osteochondrosis,"I have bones are painful, elbow lump or mass, foot or toe lump or mass, hand or finger lump or mass, knee cramps or spasms, knee lump or mass, knee swelling, skin lesion"
Osteochondrosis,"I have allergic reaction, blood in urine, bones are painful, elbow lump or mass, foot or toe lump or mass, knee cramps or spasms, knee lump or mass, knee swelling, skin lesion, weakness"
Metabolic disorder,"I have arm pain, difficulty breathing, increased heart rate, itchy scalp, melena, muscle cramps, contractures, or spasms, problems with orgasm, recent pregnancy, ringing in ear, slurring words, toothache, weakness"
Metabolic disorder,"I have arm pain, difficulty breathing, increased heart rate, itchy scalp, melena, muscle cramps, contractures, or spasms, problems with orgasm, ringing in ear, slurring words, toothache"
Metabolic disorder,"I have arm pain, increased heart rate, melena, muscle cramps, contractures, or spasms, problems with orgasm, recent pregnancy, ringing in ear, slurring words, toothache"
Metabolic disorder,"I have arm pain, difficulty breathing, increased heart rate, itchy scalp, melena, problems with orgasm, recent pregnancy, ringing in ear, toothache, weakness"
Metabolic disorder,"I have arm pain, difficulty breathing, increased heart rate, melena, problems with orgasm, recent pregnancy, ringing in ear, slurring words, weakness"
Metabolic disorder,"I have difficulty breathing, increased heart rate, itchy scalp, melena, problems with orgasm, recent pregnancy, ringing in ear, slurring words, toothache"
Metabolic disorder,"I have arm pain, difficulty breathing, itchy scalp, muscle cramps, contractures, or spasms, problems with orgasm, ringing in ear, slurring words, toothache, weakness"
Metabolic disorder,"I have arm pain, difficulty breathing, itchy scalp, melena, muscle cramps, contractures, or spasms, problems with orgasm, recent pregnancy, ringing in ear, slurring words, weakness"
Metabolic disorder,"I have arm pain, difficulty breathing, increased heart rate, itchy scalp, problems with orgasm, recent pregnancy, ringing in ear, slurring words, toothache"
Metabolic disorder,"I have difficulty breathing, increased heart rate, itchy scalp, melena, problems with orgasm, recent pregnancy, ringing in ear, slurring words, weakness"
Vaginitis,"I have low urine output, obsessions and compulsions, pain during intercourse, painful sinuses, paresthesia, seizures, stuttering or stammering, vaginal bleeding after menopause, vaginal dryness, vaginal itching, vaginal pain, vomiting blood"
Vaginitis,"I have low urine output, obsessions and compulsions, pain during intercourse, painful sinuses, paresthesia, seizures, vaginal bleeding after menopause, vaginal pain, vomiting blood"
